id,palavra,resposta
0,VTRPAGSEGURO ,null
1,PAGAMENT ,null
2,COBRANC ,null
3,SEGUR ,null
4,SEM ,null
9,null,388
5,QUE ,null
6,PAGSEGUR ,null
7,VTRSABER ,null
15,null,162
16,null,218
8,VTRNAOQUERO ,null
17,null,407
10,DOCUMENT ,null
21,null,218
11,TER ,null
23,null,158
12,VTRTROCAR ,null
13,LOJA ,null
14,DEBIT ,null
18,VTRCANCELA ,null
37,null,404
38,null,1262
22,INFORM ,null
45,null,218
24,DIZ ,null
25,VTRASSINATURAS ,null
51,null,71
26,MAS ,null
27,TOKEN ,null
55,null,1585
28,VTRCANCELA ,null
29,QUE ,null
30,MAQUIN ,null
46,DISPONIVEL ,null
94,null,1262
49,CREDIT ,null
99,null,156
100,null,154
50,TERI ,null
52,ENDEREC ,null
105,null,71
53,PAGAMENT ,null
54,VTRSABER ,null
56,CADASTR ,null
113,null,1262
114,null,388
57,PAGAMENT ,null
116,null,1262
58,SIMBOL ,null
117,null,407
59,ACONTEC ,null
60,SOBR ,null
121,null,180
61,FAL ,null
62,MAQUININH ,null
93,MAS ,null
187,null,1262
188,null,218
101,PENDENT ,null
203,null,154
204,null,69
102,90APAREC ,null
205,null,158
106,FORM ,null
213,null,358
107,TRIMESTR ,null
215,null,130
108,JA ,null
217,null,162
109,VAL ,null
219,null,158
110,VEJO ,null
221,null,180
115,PORQU ,null
232,null,404
118,VTRNAOQUERO ,null
237,null,407
119,AUTOM ,null
239,null,358
240,null,162
120,EFETU ,null
122,VTRSABER ,null
123,ESTOU ,null
247,null,603
248,null,176
124,ESSA ,null
125,VENC ,null
251,null,154
126,EXTRAT ,null
206,ESTOU ,null
214,MENSAL ,null
429,null,358
216,AUTOM ,null
433,null,180
434,null,162
218,PROCED ,null
437,null,69
438,null,158
220,DIFERENC ,null
441,null,158
442,null,180
222,CONFIRM ,null
445,null,180
231,PAGU ,null
463,null,404
464,null,1262
238,DESORGANIZ ,null
477,null,348
241,RECEB ,null
483,null,162
242,SEJA ,null
245,VTRCOMOFACO ,null
246,UOL ,null
249,RESTR ,null
499,null,1262
250,VA ,null
501,null,248
252,RESIDENC ,null
505,null,218
506,null,1262
253,APAREC ,null
254,PAGAMENT ,null
413,VTRMEU ,null
414,RECEB ,null
829,null,180
430,DADO ,null
861,null,71
446,CONFER ,null
893,null,180
478,INTEGR ,null
957,null,388
484,SEND ,null
969,null,69
485,AUTOM ,null
971,null,156
972,null,162
486,APAREC ,null
491,AUTOM ,null
983,null,358
492,CART ,null
493,VTRCOMOFACO ,null
494,JA ,null
500,USAND ,null
1001,null,1262
502,VTROPERADOR ,null
507,NAO ,null
1016,null,162
508,CONSEGU ,null
509,FIZ ,null
510,VEND ,null
827,SEND ,null
1655,null,156
1656,null,564
828,SER ,null
1657,null,162
830,VTRCOMOFACO ,null
1661,null,158
862,CREDIT ,null
1725,null,129
894,VER ,null
1789,null,180
958,TIVE ,null
1917,null,404
970,VTRSABER ,null
1941,null,180
1942,null,1306
973,VTRMEU ,null
1948,null,158
